Diploma notu dönüşüm tablosu:
dörtlük sistem: 3.12, yüzlük sistem 79.46, yüzlük sistem
dörtlük sistem: 3.11, yüzlük sistem 79.23, yüzlük sistem
dörtlük sistem: 3.1, yüzlük sistem 79.00, yüzlük sistem
dörtlük sistem: 3.09, yüzlük sistem 78.76, yüzlük sistem
dörtlük sistem: 3.08, yüzlük sistem 78.53, yüzlük sistem
dörtlük sistem: 3.07, yüzlük sistem 78.30, yüzlük sistem
dörtlük sistem: 3.06, yüzlük sistem 78.06, yüzlük sistem
dörtlük sistem: 3.05, yüzlük sistem 77.83, yüzlük sistem
dörtlük sistem: 3.04, yüzlük sistem 77.60, yüzlük sistem
dörtlük sistem: 3.03, yüzlük sistem 77.36, yüzlük sistem
dörtlük sistem: 3.02, yüzlük sistem 77.13, yüzlük sistem
dörtlük sistem: 3.01, yüzlük sistem 76.90, yüzlük sistem
dörtlük sistem: 3, yüzlük sistem 76.66, yüzlük sistem
dörtlük sistem: 2.99, yüzlük sistem 76.43, yüzlük sistem
dörtlük sistem: 2.98, yüzlük sistem 76.20, yüzlük sistem
dörtlük sistem: 2.97, yüzlük sistem 75.96, yüzlük sistem
dörtlük sistem: 2.96, yüzlük sistem 75.73, yüzlük sistem
dörtlük sistem: 2.95, yüzlük sistem 75.50, yüzlük sistem
dörtlük sistem: 2.94, yüzlük sistem 75.26, yüzlük sistem
dörtlük sistem: 2.93, yüzlük sistem 75.03, yüzlük sistem
dörtlük sistem: 2.92, yüzlük sistem 74.80, yüzlük sistem
dörtlük sistem: 2.91, yüzlük sistem 74.56, yüzlük sistem
dörtlük sistem: 2.9, yüzlük sistem 74.33, yüzlük sistem
dörtlük sistem: 2.89, yüzlük sistem 74.10, yüzlük sistem
dörtlük sistem: 2.88, yüzlük sistem 73.86, yüzlük sistem
dörtlük sistem: 2.87, yüzlük sistem 73.63, yüzlük sistem
dörtlük sistem: 2.86, yüzlük sistem 73.40, yüzlük sistem
dörtlük sistem: 2.85, yüzlük sistem 73.16, yüzlük sistem
dörtlük sistem: 2.84, yüzlük sistem 72.93, yüzlük sistem
dörtlük sistem: 2.83, yüzlük sistem 72.70, yüzlük sistem
dörtlük sistem: 2.82, yüzlük sistem 72.46, yüzlük sistem
dörtlük sistem: 2.81, yüzlük sistem 72.23, yüzlük sistem
dörtlük sistem: 2.8, yüzlük sistem 72.00, yüzlük sistem
dörtlük sistem: 2.79, yüzlük sistem 71.76, yüzlük sistem
dörtlük sistem: 2.78, yüzlük sistem 71.53, yüzlük sistem
dörtlük sistem: 2.77, yüzlük sistem 71.30, yüzlük sistem
dörtlük sistem: 2.76, yüzlük sistem 71.06, yüzlük sistem
dörtlük sistem: 2.75, yüzlük sistem 70.83, yüzlük sistem
dörtlük sistem: 2.74, yüzlük sistem 70.60, yüzlük sistem
